Date ,Water meter Reading (m3),Daily Water consumption (m3),Water meter Reading Morning(m3),Water Consumption Night (m3),Boster pump discharge pressure Bar morning/evening,Remarks,Energy meter Readings MDB1 in KWH ADDC,MDB 01 DAILY CONSUMPTION in KWH,Energy meter Readings MDB2 in KWH ADDC,MDB 02 DAILY CONSUMPTION  in KWH,MDB01 & MDB 02 DAILY TOTAL UNIT  in KWH,MDB01 & MDB 02 DAILY TOTAL UNIT  in KWH,HR & Finance Office SMDB 05  in KWH,HR & Finance office Consumption  in KWH,Canteen FDB 04  in KWH,Canteen Second DB in KWH,Canteen Consumption in KWH,Admin FDB 05 in KWH,Admin Ext. DB in KWH,Admin Consumption in KWH,"HR,CANTEEN & ADMIN DAILY TOTAL in KWH",FACTORY DAILY CONSUMPTION  in KWH,FACTORY DAILY CONSUMPTION  in KWH for Daily KPI Disply presentation reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Oct-24,4477.22,73.97,4430.2,26.95,4.0/4.0,,2681617,4341,2758132,6074,10415,10415,238313,235,167788,204577,377,354210,462080,786,1398,9017,9017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Oct-24,4525.41,48.19,4484.35,7.13,4.0/4.0,,2685534,3917,2763003,4871,8788,8788,238559,246,167886,204719,240,354423,462413,546,1032,7756,7756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Oct-24,4590.91,65.5,4536.64,11.23,4.0/4.0,,2689223,3689,2767966,4963,8652,8652,238849,290,167983,204869,247,354639,462797,600,1137,7515,7515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Oct-24,4648.33,57.42,4600.45,9.54,4.0/4.0,,2692989,3766,2772521,4555,8321,8321,239154,305,168137,205029,314,354922,463229,715,1334,6987,6987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Oct-24,4686.51,38.18,4655.88,7.55,4.0/4.0,,2695539,2550,2776159,3638,6188,6188,239344,190,168243,205137,214,355093,463502,444,848,5340,5340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Oct-24,4699.25,12.74,4655.88,-30.63,4.0/4.0,,2696585,1046,2776251,92,1138,1138,239502,158,168300,205218,138,355205,463756,366,662,476,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Oct-24,4699.25,0,4655.88,-43.37,4.0/4.0,,2696585,0,2776251,0,0,0,239502,0,168300,205218,0,355205,463756,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Oct-24,4789.51,90.26,4745.18,45.93,4.0/4.0,,2701945,5360,2783097,6846,12206,12206,239736,234,168408,205373,263,355474,464197,710,1207,10999,10999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Oct-24,4846.96,57.45,4800.74,11.23,4.0/4.0,,2705610,3665,2786763,3666,7331,7331,239982,246,168561,205519,299,355699,464571,599,1144,6187,6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Oct-24,4887.18,40.22,4854.85,7.89,4.0/4.0,,2709267,3657,2790148,3385,7042,7042,240178,196,168649,205642,211,355878,464888,496,903,6139,6139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Oct-24,4919.12,31.94,4896.34,9.16,4.0/4.0,,2712550,3283,2793483,3335,6618,6618,240365,187,168734,205753,196,356034,465127,395,778,5840,5840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Nov-24,4947.61,28.49,4927.89,8.77,4.0/4.0,,2715632,3082,2796567,3084,6166,6166,240556,191,168814,205874,201,356217,465411,467,859,5307,5307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Nov-24,4972.44,24.83,4965.86,18.25,4.0/4.0,,2717122,1490,2798544,1977,3467,3467,240674,118,168869,205974,155,356301,465615,288,561,2906,2906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Nov-24,4972.44,0,5000.15,27.71,4.0/4.0,,2717122,0,2798544,0,0,0,240674,0,168869,205974,0,356301,465615,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Nov-24,5064.39,91.95,5009.35,36.91,4.0/4.0,,2720802,3680,2803124,4580,8260,8260,240695,21,168988,206183,328,356543,466020,647,996,7264,7264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Nov-24,5133.26,68.87,5074.05,9.66,4.0/4.0,,2724290,3488,2806183,3059,6547,6547,241116,421,169104,206315,248,356726,466317,480,1149,5398,5398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Nov-24,5196.39,63.13,5152.05,18.79,4.0/4.0,,2727612,3322,2809964,3781,7103,7103,241349,233,169269,206445,295,356897,466596,450,978,6125,6125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Nov-24,5264.97,68.58,5205.51,9.12,4.0/4.0,,2731039,3427,2813679,3715,7142,7142,241558,209,169344,206573,203,357082,466867,456,868,6274,6274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Nov-24,5307.83,42.86,5282.22,17.25,4.0/4.0,,2734028,2989,2816652,2973,5962,5962,241809,251,169423,206713,219,357299,467150,500,970,4992,4992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Nov-24,5334.03,26.2,5311.46,3.63,4.0/4.0,,2735451,1423,2818462,1810,3233,3233,241866,57,169490,206825,179,357374,467307,232,468,2765,2765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov-24,5350.03,16,5340.46,6.43,4.0/4.0,,2736027,576,2819248,786,1362,1362,241894,28,169514,206902,101,357453,467433,205,334,1028,1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Nov-24,5401.59,51.56,5359.55,9.52,4.0/4.0,,2738851,2824,2822064,2816,5640,5640,242066,172,169598,207024,206,357630,467679,423,801,4839,4839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Nov-24,5463.82,62.23,5416.39,14.8,4.0/4.0,,2742006,3155,2825350,3286,6441,6441,242252,186,169716,207143,237,357819,467925,435,858,5583,5583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Nov-24,5508.74,44.92,5472.72,8.9,4.0/4.0,,2745058,3052,2828497,3147,6199,6199,242444,192,169859,207265,265,357997,468167,420,877,5322,5322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Nov-24,5580.51,71.77,5518.527,9.787,4.0/4.0,,2748425,3367,2832257,3760,7127,7127,242705,261,170005,207406,287,358190,468488,514,1062,6065,6065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Nov-24,5654.31,73.8,5599.74,19.23,4.0/4.0,,2751689,3264,2835029,2772,6036,6036,242852,147,170124,207514,227,358365,468691,378,752,5284,5284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Nov-24,5722.31,68,5671.19,16.88,4.0/4.0,,2753807,2118,2837234,2205,4323,4323,242919,67,170201,207630,193,358446,468819,209,469,3854,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Nov-24,5745.12,22.81,5732.52,10.21,4.0/4.0,,2754530,723,2838101,867,1590,1590,242995,76,170221,207706,96,358524,468940,199,371,1219,1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Nov-24,5822.47,77.35,5768.09,22.97,4.0/4.0,,2757727,3197,2841251,3150,6347,6347,243134,139,170307,207818,198,358687,469164,387,724,5623,5623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Nov-24,5840.21,17.74,5832.15,9.68,4.0/4.0,,2758187,460,2841933,682,1142,1142,243169,35,170315,207883,73,358777,469363,289,397,745,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Nov-24,5895.28,55.07,5846.31,6.1,4.0/4.0,,2761252,3065,2844498,2565,5630,5630,243371,202,170410,207996,208,358935,469505,300,710,4920,4920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Nov-24,5969.78,74.5,5903.49,8.21,4.0/4.0,,2765689,4437,2847088,2590,7027,7027,243553,182,170514,208129,237,359164,469789,513,932,6095,6095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Nov-24,6013.48,43.7,5970.21,0.43,4.0/4.0,,2768465,2776,2849119,2031,4807,4807,243665,112,170585,208216,158,359300,469975,322,592,4215,4215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-24,6071.52,58.04,6025.84,12.36,4.0/4.0,,2771143,2678,2851141,2022,4700,4700,243760,95,170685,208337,221,359390,470118,233,549,4151,4151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Nov-24,6105.25,33.73,6080.32,8.8,4.0/4.0,,2772261,1118,2851859,718,1836,1836,243828,68,170762,208410,150,359472,470242,206,424,1412,1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Nov-24,6166.58,61.33,6114.12,8.87,4.0/4.0,,2775440,3179,2854355,2496,5675,5675,243943,115,170860,208517,205,359625,470443,354,674,5001,5001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Nov-24,6232.34,65.76,6175.98,9.4,4.0/4.0,,2778991,3551,2857095,2740,6291,6291,244107,164,170982,208626,231,359794,470684,410,805,5486,5486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Nov-24,6308.91,76.57,6250.69,18.35,4.0/4.0,,2782421,3430,2859479,2384,5814,5814,244278,171,171100,208738,230,359976,470920,418,819,4995,4995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Nov-24,6383.37,74.46,6322.39,13.48,4.0/4.0,,2786817,4396,2862722,3243,7639,7639,244477,199,171223,208893,278,360252,471284,640,1117,6522,6522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Nov-24,6405.72,22.35,6397.25,13.88,4.0/4.0,,2789212,2395,2864221,1499,3894,3894,244564,87,171282,208959,125,360334,471385,183,395,3499,3499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov-24,6430.42,24.7,6416.23,10.51,4.0/4.0,,2792082,2870,2866046,1825,4695,4695,244608,44,171353,209058,170,360415,471526,222,436,4259,4259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Dec-24,6444.52,14.1,6439.12,8.7,4.0/4.0,,2792512,430,2866590,544,974,974,244625,17,171412,209108,109,360486,471632,177,303,671,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Dec-24,6444.52,0,6439.12,-5.4,4.0/4.0,,2792512,0,2866590,0,0,0,244625,0,171412,209108,0,360486,471632,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Dec-24,6444.52,0,6439.12,-5.4,4.0/4.0,,2792512,0,2866590,0,0,0,244625,0,171412,209108,0,360486,471632,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Dec-24,6541.72,97.2,6484.81,40.29,4.0/4.0,,2796537,4025,2869732,3142,7167,7167,244730,105,171532,209356,368,360776,472027,685,1158,6009,6009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Dec-24,6602.98,61.26,6616.6,74.88,4.0/4.0,,2799825,3288,2871319,1587,4875,4875,244854,124,171628,209460,200,360920,472222,339,663,4212,4212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Dec-24,6616.95,13.97,6616.98,14,4.0/4.0,,2801843,2018,2872499,1180,3198,3198,244951,97,171675,209564,151,360982,472390,230,478,2720,2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Dec-24,6616.98,0.03,6616.98,0.03,4.0/4.0,,2801843,0,2872499,0,0,0,244951,0,171675,209564,0,360982,472390,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Dec-24,6616.98,0,6616.98,0,4.0/4.0,,2801843,0,2872499,0,0,0,244951,0,171675,209564,0,360982,472390,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Dec-24,6714.94,97.96,6680.23,63.25,4.0/4.0,,2806665,4822,2875547,3048,7870,7870,245137,186,171887,209804,452,361347,472800,775,1413,6457,6457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec-24,6781.27,66.33,6727.5,12.56,4.0/4.0,,2809759,3094,2877571,2024,5118,5118,245248,111,171963,209906,178,361478,472977,308,597,4521,4521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Dec-24,6846.03,64.76,6792.21,10.94,4.0/4.0,,2813390,3631,2879515,1944,5575,5575,245341,93,172046,210004,181,361590,473143,278,552,5023,5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Dec-24,6907.56,61.53,6856.7,10.67,4.0/4.0,,2816514,3124,2881470,1955,5079,5079,245445,104,172137,210110,197,361723,473342,332,633,4446,4446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Dec-24,6954.54,46.98,,-6907.56,4.0/4.0,,2819673,3159,2882891,1421,4580,4580,245445,0,172137,210110,0,361723,473342,0,0,4580,4580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Dec-24,7008.26,53.72,,-6954.54,4.0/4.0,,2819673,0,2882891,0,0,0,245445,0,172137,210110,0,361723,473342,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Dec-24,7009.86,1.6,,-7008.26,4.0/4.0,,2819673,0,2882891,0,0,0,245445,0,172137,210110,0,361723,473342,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Dec-24,7030.36,20.5,,-7009.86,4.0/4.0,,2824515,4842,2885506,2615,7457,7457,245686,241,172387,210464,604,362147,473892,974,1819,5638,5638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Dec-24,7088.39,58.03,7042.55,12.19,4.0/4.0,,2827617,3102,2887124,1618,4720,4720,245811,125,172461,210570,180,362300,474045,306,611,4109,4109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec-24,7140.86,52.47,7098.72,10.33,4.0/4.0,,2830787,3170,2888574,1450,4620,4620,245875,64,172531,210676,176,362436,474198,289,529,4091,4091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Dec-24,7175.62,34.76,7152.79,11.93,4.0/4.0,,2833676,2889,2889938,1364,4253,4253,245971,96,172564,210774,131,362556,474332,254,481,3772,3772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Dec-24,7229.68,54.06,7187.65,12.03,4.0/4.0,,2836938,3262,2891120,1182,4444,4444,246069,98,172674,210897,233,362719,474532,363,694,3750,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Dec-24,7229.68,0,,-7229.68,4.0/4.0,,2836938,0,2891120,0,0,0,246069,0,172674,210897,0,362719,474532,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Dec-24,7229.68,0,7275.16,45.48,4.0/4.0,,2836938,0,2891120,0,0,0,246069,0,172674,210897,0,362719,474532,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Dec-24,7310.63,80.95,,-7229.68,4.0/4.0,,2841014,4076,2892855,1735,5811,5811,246193,124,172812,211083,324,362800,474621,170,618,5193,5193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Dec-24,7368.34,57.71,7322.19,11.56,4.0/4.0,,2843750,2736,2894210,1355,4091,4091,246289,96,172891,211180,176,362960,474824,363,635,3456,3456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Dec-24,7368.34,0,,-7368.34,4.0/4.0,,2843750,0,2894210,0,0,0,246289,0,172891,211180,0,362960,474824,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Dec-24,7431.8,63.46,7460.96,92.62,4.0/4.0,,2847156,3406,2896010,1800,5206,5206,246418,129,172997,211327,253,363253,475205,674,1056,4150,4150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Dec-24,7510.15,78.35,7515.15,83.35,4.0/4.0,,2850455,3299,2897508,1498,4797,4797,246501,83,173066,211404,146,363352,475326,220,449,4348,4348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-24,7522.54,12.39,,-7510.15,4.0/4.0,,2851515,1060,2897734,226,1286,1286,246575,74,173110,211477,117,363456,475449,227,418,868,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Dec-24,7522.54,0,,-7522.54,4.0/4.0,,2851515,0,2897734,0,0,0,246575,0,173110,211477,0,363456,475449,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Dec-24,7584.45,,,-7522.54,4.0/4.0,,2853734,2219,2898905,1171,3390,3390,246698,123,173216,211655,284,363697,475775,567,974,2416,2416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Dec-24,7591.95,7.5,,-7584.45,4.0/4.0,,2854446,712,2899154,249,961,961,246715,17,173247,211697,73,363739,475806,73,163,798,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jan-25,,-7591.95,,-7591.95,4.0/4.0,,,-2854446,,-2899154,-5753600,#N/A,,-246715,,,-384944,,,-839545,-1471204,-4282396,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jan-25,,0,,0,4.0/4.0,,,0,,0,0,0,,0,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Jan-25,,0,,0,4.0/4.0,,,0,,0,0,0,,0,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
